_id,id,gen,edad,ocup,cp,len_cp
ObjectId("5df8c467c17bff0219cfae05"),5665,M,18,4,10461-1301,10
ObjectId("5df8c467c17bff0219cfae16"),5682,M,18,0,23455-4959,10
ObjectId("5df8c467c17bff0219cfaf09"),5925,F,25,0,90035-4444,10
ObjectId("5df8c467c17bff0219cfaf33"),5967,M,50,16,73069-5429,10
ObjectId("5df8c467c17bff0219cfaf45"),5985,F,18,4,78705-5221,10
ObjectId("5df8c467c17bff0219cfabd0"),5100,M,50,6,193122042,9
ObjectId("5df8c466c17bff0219cf9a01"),541,F,18,4,5849574,7
ObjectId("5df8c466c17bff0219cf9ccf"),1259,M,35,7,2020010,7
ObjectId("5df8c467c17bff0219cfa99e"),4538,M,25,12,0956456,7
ObjectId("5df8c466c17bff0219cf9c27"),1091,M,18,5,345567,6
ObjectId("5df8c466c17bff0219cf9d7e"),1434,F,1,10,495321,6
ObjectId("5df8c466c17bff0219cfa01e"),2106,F,18,20,495321,6
ObjectId("5df8c466c17bff0219cfa309"),2853,M,1,1,444555,6
ObjectId("5df8c466c17bff0219cfa4ff"),3355,M,25,1,400060,6
ObjectId("5df8c467c17bff0219cfa725"),3905,M,25,17,361069,6
ObjectId("5df8c467c17bff0219cfa94a"),4454,M,25,20,111225,6
ObjectId("5df8c467c17bff0219cfab15"),4913,F,25,1,970025,6
ObjectId("5df8c467c17bff0219cfab51"),4973,F,56,2,949702,6
ObjectId("5df8c467c17bff0219cfad6a"),5510,M,18,4,191004,6
ObjectId("5df8c467c17bff0219cfaef4"),5904,F,45,12,954025,6
ObjectId("5df8c466c17bff0219cf97e5"),1,F,1,10,48067,5
ObjectId("5df8c466c17bff0219cf97e6"),2,M,56,16,70072,5
ObjectId("5df8c466c17bff0219cf97e7"),3,M,25,15,55117,5
ObjectId("5df8c466c17bff0219cf97e8"),4,M,45,7,02460,5
ObjectId("5df8c466c17bff0219cf97e9"),5,M,25,20,55455,5
ObjectId("5df8c466c17bff0219cf97ea"),6,F,50,9,55117,5
ObjectId("5df8c466c17bff0219cf97eb"),7,M,35,1,06810,5
ObjectId("5df8c466c17bff0219cf97ec"),8,M,25,12,11413,5
ObjectId("5df8c466c17bff0219cf97ed"),9,M,25,17,61614,5
ObjectId("5df8c466c17bff0219cf97ee"),10,F,35,1,95370,5
ObjectId("5df8c466c17bff0219cf97ef"),11,F,25,1,04093,5
ObjectId("5df8c466c17bff0219cf97f0"),12,M,25,12,32793,5
ObjectId("5df8c466c17bff0219cf97f1"),13,M,45,1,93304,5
ObjectId("5df8c466c17bff0219cf97f2"),14,M,35,0,60126,5
ObjectId("5df8c466c17bff0219cf97f3"),15,M,25,7,22903,5
ObjectId("5df8c466c17bff0219cf97f4"),16,F,35,0,20670,5
ObjectId("5df8c466c17bff0219cf97f5"),17,M,50,1,95350,5
ObjectId("5df8c466c17bff0219cf97f6"),18,F,18,3,95825,5
ObjectId("5df8c466c17bff0219cf97f7"),19,M,1,10,48073,5
ObjectId("5df8c466c17bff0219cf97f8"),20,M,25,14,55113,5
ObjectId("5df8c466c17bff0219cf97f9"),21,M,18,16,99353,5
ObjectId("5df8c466c17bff0219cf97fa"),22,M,18,15,53706,5
ObjectId("5df8c466c17bff0219cf97fb"),23,M,35,0,90049,5
ObjectId("5df8c466c17bff0219cf97fc"),24,F,25,7,10023,5
ObjectId("5df8c466c17bff0219cf97fd"),25,M,18,4,01609,5
ObjectId("5df8c466c17bff0219cf97fe"),26,M,25,7,23112,5
ObjectId("5df8c466c17bff0219cf97ff"),27,M,25,11,19130,5
ObjectId("5df8c466c17bff0219cf9800"),28,F,25,1,14607,5
ObjectId("5df8c466c17bff0219cf9801"),29,M,35,7,33407,5
ObjectId("5df8c466c17bff0219cf9802"),30,F,35,7,19143,5
ObjectId("5df8c466c17bff0219cf9803"),31,M,56,7,06840,5
ObjectId("5df8c466c17bff0219cf9804"),32,F,25,0,19355,5
ObjectId("5df8c466c17bff0219cf9805"),33,M,45,3,55421,5
ObjectId("5df8c466c17bff0219cf9806"),34,F,18,0,02135,5
ObjectId("5df8c466c17bff0219cf9807"),35,M,45,1,02482,5
ObjectId("5df8c466c17bff0219cf9808"),36,M,25,3,94123,5
ObjectId("5df8c466c17bff0219cf9809"),37,F,25,9,66212,5
ObjectId("5df8c466c17bff0219cf980a"),38,F,18,4,02215,5
ObjectId("5df8c466c17bff0219cf980b"),39,M,18,4,61820,5
ObjectId("5df8c466c17bff0219cf980c"),40,M,45,0,10543,5
ObjectId("5df8c466c17bff0219cf980d"),41,F,18,4,15116,5
ObjectId("5df8c466c17bff0219cf980e"),42,M,25,8,24502,5
ObjectId("5df8c466c17bff0219cf980f"),43,M,25,12,60614,5
ObjectId("5df8c466c17bff0219cf9810"),44,M,45,17,98052,5
ObjectId("5df8c466c17bff0219cf9811"),45,F,45,16,94110,5
ObjectId("5df8c466c17bff0219cf9812"),46,M,18,19,75602,5
ObjectId("5df8c466c17bff0219cf9813"),47,M,18,4,94305,5
ObjectId("5df8c466c17bff0219cf9814"),48,M,25,4,92107,5
ObjectId("5df8c466c17bff0219cf9815"),49,M,18,12,77084,5
ObjectId("5df8c466c17bff0219cf9816"),50,F,25,2,98133,5
ObjectId("5df8c466c17bff0219cf9817"),51,F,1,10,10562,5
ObjectId("5df8c466c17bff0219cf9818"),52,M,18,4,72212,5
ObjectId("5df8c466c17bff0219cf9819"),53,M,25,0,96931,5
ObjectId("5df8c466c17bff0219cf981a"),54,M,50,1,56723,5
ObjectId("5df8c466c17bff0219cf981b"),55,F,35,12,55303,5
ObjectId("5df8c466c17bff0219cf981c"),56,M,35,20,60440,5
ObjectId("5df8c466c17bff0219cf981d"),57,M,18,19,30350,5
ObjectId("5df8c466c17bff0219cf981e"),58,M,25,2,30303,5
ObjectId("5df8c466c17bff0219cf981f"),59,F,50,1,55413,5
ObjectId("5df8c466c17bff0219cf9820"),60,M,50,1,72118,5
ObjectId("5df8c466c17bff0219cf9821"),61,M,25,17,95122,5
ObjectId("5df8c466c17bff0219cf9822"),62,F,35,3,98105,5
ObjectId("5df8c466c17bff0219cf9823"),63,M,18,4,54902,5
ObjectId("5df8c466c17bff0219cf9824"),64,M,18,1,53706,5
ObjectId("5df8c466c17bff0219cf9825"),65,M,35,12,55803,5
ObjectId("5df8c466c17bff0219cf9826"),66,M,25,18,57706,5
ObjectId("5df8c466c17bff0219cf9827"),67,F,50,5,60181,5
ObjectId("5df8c466c17bff0219cf9828"),68,M,18,4,53706,5
ObjectId("5df8c466c17bff0219cf9829"),69,F,25,1,02143,5
ObjectId("5df8c466c17bff0219cf982a"),70,M,18,4,53703,5
ObjectId("5df8c466c17bff0219cf982b"),71,M,25,14,95008,5
ObjectId("5df8c466c17bff0219cf982c"),72,F,45,0,55122,5
ObjectId("5df8c466c17bff0219cf982d"),73,M,18,4,53706,5
ObjectId("5df8c466c17bff0219cf982e"),74,M,35,14,94530,5
ObjectId("5df8c466c17bff0219cf982f"),75,F,1,10,01748,5
ObjectId("5df8c466c17bff0219cf9830"),76,M,35,7,55413,5
ObjectId("5df8c466c17bff0219cf9831"),77,M,18,4,15321,5
ObjectId("5df8c466c17bff0219cf9832"),78,F,45,1,98029,5
ObjectId("5df8c466c17bff0219cf9833"),79,F,45,0,98103,5
ObjectId("5df8c466c17bff0219cf9834"),80,M,56,1,49327,5
ObjectId("5df8c466c17bff0219cf9835"),81,F,25,0,60640,5
ObjectId("5df8c466c17bff0219cf9836"),82,M,25,17,48380,5
ObjectId("5df8c466c17bff0219cf9837"),83,F,25,2,94609,5
ObjectId("5df8c466c17bff0219cf9838"),84,M,18,4,53140,5
ObjectId("5df8c466c17bff0219cf9839"),85,M,18,4,94945,5
ObjectId("5df8c466c17bff0219cf983a"),86,F,1,10,54467,5
ObjectId("5df8c466c17bff0219cf983b"),87,M,25,14,48360,5
ObjectId("5df8c466c17bff0219cf983c"),88,F,45,1,02476,5
ObjectId("5df8c466c17bff0219cf983d"),89,F,56,9,85749,5
ObjectId("5df8c466c17bff0219cf983e"),90,M,56,13,85749,5
ObjectId("5df8c466c17bff0219cf983f"),91,M,35,7,07650,5
ObjectId("5df8c466c17bff0219cf9840"),92,F,18,4,44243,5
ObjectId("5df8c466c17bff0219cf9841"),93,M,25,17,95825,5
ObjectId("5df8c466c17bff0219cf9842"),94,M,25,17,28601,5
ObjectId("5df8c466c17bff0219cf9843"),95,M,45,0,98201,5
ObjectId("5df8c466c17bff0219cf9844"),96,F,25,16,78028,5
ObjectId("5df8c466c17bff0219cf9845"),97,F,35,3,66210,5
ObjectId("5df8c466c17bff0219cf9846"),98,F,35,7,33547,5
ObjectId("5df8c466c17bff0219cf9847"),99,F,1,10,19390,5
ObjectId("5df8c466c17bff0219cf9848"),100,M,35,17,95401,5
ObjectId("5df8c466c17bff0219cf9849"),101,F,18,3,33314,5
ObjectId("5df8c466c17bff0219cf984a"),102,M,35,19,20871,5
ObjectId("5df8c466c17bff0219cf984b"),103,M,45,7,92104,5
ObjectId("5df8c466c17bff0219cf984c"),104,M,25,12,00926,5
ObjectId("5df8c466c17bff0219cf984d"),105,M,45,12,90277,5
ObjectId("5df8c466c17bff0219cf984e"),106,F,35,11,79101,5
ObjectId("5df8c466c17bff0219cf984f"),107,M,45,18,63129,5
ObjectId("5df8c466c17bff0219cf9850"),108,M,25,12,30316,5
ObjectId("5df8c466c17bff0219cf9851"),109,M,45,15,92028,5
ObjectId("5df8c466c17bff0219cf9852"),110,M,25,2,90803,5
ObjectId("5df8c466c17bff0219cf9853"),111,M,35,15,55416,5
ObjectId("5df8c466c17bff0219cf9854"),112,M,25,16,97209,5
ObjectId("5df8c466c17bff0219cf9855"),113,M,18,12,37032,5
ObjectId("5df8c466c17bff0219cf9856"),114,F,25,2,83712,5
ObjectId("5df8c466c17bff0219cf9857"),115,M,25,17,28083,5
ObjectId("5df8c466c17bff0219cf9858"),116,M,25,17,55744,5
ObjectId("5df8c466c17bff0219cf9859"),117,M,25,17,33314,5
ObjectId("5df8c466c17bff0219cf985a"),118,M,35,17,22315,5
ObjectId("5df8c466c17bff0219cf985b"),119,F,1,10,77515,5
ObjectId("5df8c466c17bff0219cf985c"),120,M,25,11,27106,5
ObjectId("5df8c466c17bff0219cf985d"),121,M,35,7,75229,5
ObjectId("5df8c466c17bff0219cf985e"),122,F,18,4,94305,5
ObjectId("5df8c466c17bff0219cf985f"),123,M,35,9,67208,5
ObjectId("5df8c466c17bff0219cf9860"),124,M,56,7,91356,5
ObjectId("5df8c466c17bff0219cf9861"),125,M,45,14,01701,5
ObjectId("5df8c466c17bff0219cf9862"),126,M,18,9,98117,5
ObjectId("5df8c466c17bff0219cf9863"),127,F,45,3,01770,5
ObjectId("5df8c466c17bff0219cf9864"),128,M,56,6,37922,5
ObjectId("5df8c466c17bff0219cf9865"),129,M,25,11,20164,5
ObjectId("5df8c466c17bff0219cf9866"),130,M,35,17,50021,5
ObjectId("5df8c466c17bff0219cf9867"),131,M,18,4,06520,5
ObjectId("5df8c466c17bff0219cf9868"),132,M,25,17,99709,5
ObjectId("5df8c466c17bff0219cf9869"),133,F,25,0,55071,5
ObjectId("5df8c466c17bff0219cf986a"),134,M,25,0,66212,5
ObjectId("5df8c466c17bff0219cf986b"),135,M,18,4,20006,5
ObjectId("5df8c466c17bff0219cf986c"),136,M,18,2,21202,5
ObjectId("5df8c466c17bff0219cf986d"),137,F,45,6,78758,5
ObjectId("5df8c466c17bff0219cf986e"),138,M,18,20,22203,5
ObjectId("5df8c466c17bff0219cf986f"),139,F,25,20,45409,5
ObjectId("5df8c466c17bff0219cf9870"),140,F,35,1,55107,5
ObjectId("5df8c466c17bff0219cf9871"),141,M,35,13,62035,5
ObjectId("5df8c466c17bff0219cf9872"),142,M,25,7,10011,5
ObjectId("5df8c466c17bff0219cf9873"),143,M,18,3,64043,5
ObjectId("5df8c466c17bff0219cf9874"),144,M,25,17,29401,5
ObjectId("5df8c466c17bff0219cf9875"),145,M,18,4,19081,5
ObjectId("5df8c466c17bff0219cf9876"),146,F,35,20,10954,5
ObjectId("5df8c466c17bff0219cf9877"),147,M,18,4,91360,5
ObjectId("5df8c466c17bff0219cf9878"),148,M,50,17,57747,5
ObjectId("5df8c466c17bff0219cf9879"),149,M,25,1,29205,5
ObjectId("5df8c466c17bff0219cf987a"),150,M,35,7,98144,5
ObjectId("5df8c466c17bff0219cf987b"),151,F,25,20,85013,5
ObjectId("5df8c466c17bff0219cf987c"),152,M,18,4,48104,5
ObjectId("5df8c466c17bff0219cf987d"),153,M,1,10,51537,5
ObjectId("5df8c466c17bff0219cf987e"),154,M,50,20,94530,5
ObjectId("5df8c466c17bff0219cf987f"),155,M,35,12,07470,5
ObjectId("5df8c466c17bff0219cf9880"),156,F,45,7,14519,5
ObjectId("5df8c466c17bff0219cf9881"),157,M,35,16,12866,5
ObjectId("5df8c466c17bff0219cf9882"),158,M,56,7,28754,5
ObjectId("5df8c466c17bff0219cf9883"),159,F,45,0,37922,5
ObjectId("5df8c466c17bff0219cf9884"),160,M,35,7,13021,5
ObjectId("5df8c466c17bff0219cf9886"),162,F,18,4,93117,5
ObjectId("5df8c466c17bff0219cf9887"),163,M,18,4,85013,5
ObjectId("5df8c466c17bff0219cf9888"),164,F,56,13,94566,5
ObjectId("5df8c466c17bff0219cf9889"),165,M,18,16,98502,5
ObjectId("5df8c466c17bff0219cf988a"),166,M,18,4,92802,5
ObjectId("5df8c466c17bff0219cf988b"),167,F,25,11,10022,5
ObjectId("5df8c466c17bff0219cf988c"),168,F,50,0,46970,5
ObjectId("5df8c466c17bff0219cf988d"),169,M,25,7,55439,5
ObjectId("5df8c466c17bff0219cf988e"),170,M,25,11,07002,5
ObjectId("5df8c466c17bff0219cf988f"),171,F,50,17,55441,5
ObjectId("5df8c466c17bff0219cf9890"),172,M,25,3,07661,5
ObjectId("5df8c466c17bff0219cf9891"),173,M,25,0,45237,5
ObjectId("5df8c466c17bff0219cf9892"),174,M,25,16,21203,5
ObjectId("5df8c466c17bff0219cf9893"),175,F,25,2,95123,5
ObjectId("5df8c466c17bff0219cf9894"),176,F,18,3,55016,5
ObjectId("5df8c466c17bff0219cf9895"),177,M,50,1,54016,5
ObjectId("5df8c466c17bff0219cf9896"),178,M,56,17,53705,5
ObjectId("5df8c466c17bff0219cf9897"),179,M,25,0,02135,5
ObjectId("5df8c466c17bff0219cf9898"),180,M,45,12,01603,5
ObjectId("5df8c466c17bff0219cf9899"),181,M,18,17,33186,5
ObjectId("5df8c466c17bff0219cf989a"),182,M,18,4,03052,5
ObjectId("5df8c466c17bff0219cf989b"),183,F,45,1,55407,5
ObjectId("5df8c466c17bff0219cf989c"),184,F,25,0,19001,5
ObjectId("5df8c466c17bff0219cf989d"),185,M,45,0,14468,5
ObjectId("5df8c466c17bff0219cf989e"),186,M,18,5,91767,5
ObjectId("5df8c466c17bff0219cf989f"),187,F,45,1,94061,5
ObjectId("5df8c466c17bff0219cf98a0"),188,M,56,16,79930,5
ObjectId("5df8c466c17bff0219cf98a1"),189,M,18,0,60076,5
ObjectId("5df8c466c17bff0219cf98a2"),190,M,25,17,55125,5
ObjectId("5df8c466c17bff0219cf98a3"),191,M,18,4,04915,5
ObjectId("5df8c466c17bff0219cf98a4"),192,M,18,1,10977,5
ObjectId("5df8c466c17bff0219cf98a5"),193,F,45,15,44106,5
ObjectId("5df8c466c17bff0219cf98a6"),194,F,1,10,29146,5
ObjectId("5df8c466c17bff0219cf98a7"),195,M,25,12,10458,5
ObjectId("5df8c466c17bff0219cf98a8"),196,F,35,9,94587,5
ObjectId("5df8c466c17bff0219cf98a9"),197,M,18,14,10023,5
ObjectId("5df8c466c17bff0219cf98aa"),198,M,25,12,55108,5
ObjectId("5df8c466c17bff0219cf98ab"),199,M,18,4,83706,5
ObjectId("5df8c466c17bff0219cf98ac"),200,F,18,4,84321,5
ObjectId("5df8c466c17bff0219cf98ad"),201,F,35,2,55117,5
ObjectId("5df8c466c17bff0219cf98ae"),202,M,18,4,53706,5
ObjectId("5df8c466c17bff0219cf98af"),203,F,18,4,53715,5
ObjectId("5df8c466c17bff0219cf98b0"),204,M,25,7,92123,5
ObjectId("5df8c466c17bff0219cf98b1"),205,M,35,12,97333,5
ObjectId("5df8c466c17bff0219cf98b2"),206,M,25,17,20194,5
ObjectId("5df8c466c17bff0219cf98b3"),207,M,25,12,94115,5
ObjectId("5df8c466c17bff0219cf98b4"),208,M,35,17,55432,5
ObjectId("5df8c466c17bff0219cf98b5"),209,M,35,1,90048,5
ObjectId("5df8c466c17bff0219cf98b6"),210,F,1,10,25801,5
ObjectId("5df8c466c17bff0219cf98b7"),211,M,45,17,90620,5
ObjectId("5df8c466c17bff0219cf98b8"),212,M,25,16,53714,5
ObjectId("5df8c466c17bff0219cf98b9"),213,F,18,4,01609,5
ObjectId("5df8c466c17bff0219cf98ba"),214,M,18,20,80218,5
ObjectId("5df8c466c17bff0219cf98bb"),215,M,35,14,92075,5
ObjectId("5df8c466c17bff0219cf98bc"),216,M,45,13,52761,5
ObjectId("5df8c466c17bff0219cf98bd"),217,M,18,4,22903,5
ObjectId("5df8c466c17bff0219cf98be"),218,M,35,14,95822,5
ObjectId("5df8c466c17bff0219cf98bf"),219,F,25,4,55113,5
ObjectId("5df8c466c17bff0219cf98c0"),220,M,25,12,22903,5
ObjectId("5df8c466c17bff0219cf98c1"),221,F,25,0,94063,5
ObjectId("5df8c466c17bff0219cf98c2"),222,M,25,1,55116,5
ObjectId("5df8c466c17bff0219cf98c3"),223,M,25,17,28262,5
ObjectId("5df8c466c17bff0219cf98c4"),224,F,18,4,14850,5
ObjectId("5df8c466c17bff0219cf98c5"),225,M,25,7,11215,5
ObjectId("5df8c466c17bff0219cf98c6"),226,M,35,1,94518,5
ObjectId("5df8c466c17bff0219cf98c7"),227,M,35,20,90291,5
ObjectId("5df8c466c17bff0219cf98c8"),228,M,25,15,55455,5
ObjectId("5df8c466c17bff0219cf98c9"),229,M,18,10,04576,5
ObjectId("5df8c466c17bff0219cf98ca"),230,M,45,1,43210,5
ObjectId("5df8c466c17bff0219cf98cb"),231,M,25,3,55455,5
ObjectId("5df8c466c17bff0219cf98cc"),232,M,25,20,55408,5
ObjectId("5df8c466c17bff0219cf98ce"),234,M,35,7,39652,5
ObjectId("5df8c466c17bff0219cf98cf"),235,M,25,0,98153,5
ObjectId("5df8c466c17bff0219cf98d0"),236,M,25,5,55126,5
ObjectId("5df8c466c17bff0219cf98d1"),237,M,25,6,46835,5
ObjectId("5df8c466c17bff0219cf98d2"),238,F,50,7,90291,5
ObjectId("5df8c466c17bff0219cf98d3"),239,M,18,19,94618,5
ObjectId("5df8c466c17bff0219cf98d4"),240,M,50,17,55113,5
ObjectId("5df8c466c17bff0219cf98d5"),241,M,35,20,55121,5
ObjectId("5df8c466c17bff0219cf98d6"),242,F,18,4,53706,5
ObjectId("5df8c466c17bff0219cf98d7"),243,M,25,16,11576,5
ObjectId("5df8c466c17bff0219cf98d8"),244,M,50,7,19072,5
ObjectId("5df8c466c17bff0219cf98d9"),245,M,35,16,66046,5
ObjectId("5df8c466c17bff0219cf98da"),246,F,18,4,60625,5
ObjectId("5df8c466c17bff0219cf98db"),247,M,25,17,94404,5
ObjectId("5df8c466c17bff0219cf98dc"),248,M,18,17,72703,5
ObjectId("5df8c466c17bff0219cf98dd"),249,F,18,14,48126,5
ObjectId("5df8c466c17bff0219cf98de"),250,M,35,16,11229,5
ObjectId("5df8c466c17bff0219cf98df"),251,M,56,17,55105,5
ObjectId("5df8c466c17bff0219cf98e0"),252,M,25,12,94112,5
ObjectId("5df8c466c17bff0219cf98e1"),253,F,25,11,97370,5
ObjectId("5df8c466c17bff0219cf98e2"),254,M,35,17,49015,5
ObjectId("5df8c466c17bff0219cf98e3"),255,M,35,0,85310,5
ObjectId("5df8c466c17bff0219cf98e4"),256,M,45,16,55076,5
ObjectId("5df8c466c17bff0219cf98e5"),257,M,18,18,55113,5
ObjectId("5df8c466c17bff0219cf98e6"),258,M,25,7,55436,5
ObjectId("5df8c466c17bff0219cf98e7"),259,M,25,1,60615,5
ObjectId("5df8c466c17bff0219cf98e8"),260,M,18,19,98126,5
ObjectId("5df8c466c17bff0219cf98e9"),261,M,25,20,75801,5
ObjectId("5df8c466c17bff0219cf98ea"),262,F,25,1,68503,5
ObjectId("5df8c466c17bff0219cf98eb"),263,F,25,7,22304,5
ObjectId("5df8c466c17bff0219cf98ec"),264,M,35,0,20755,5
ObjectId("5df8c466c17bff0219cf98ed"),265,F,35,7,55116,5
ObjectId("5df8c466c17bff0219cf98ee"),266,M,35,11,75229,5
ObjectId("5df8c466c17bff0219cf98ef"),267,M,45,12,55001,5
ObjectId("5df8c466c17bff0219cf98f0"),268,F,18,12,29708,5
ObjectId("5df8c466c17bff0219cf98f1"),269,M,25,2,55408,5
ObjectId("5df8c466c17bff0219cf98f2"),270,M,50,14,55414,5
ObjectId("5df8c466c17bff0219cf98f3"),271,M,18,4,48202,5
ObjectId("5df8c466c17bff0219cf98f4"),272,M,18,0,80302,5
ObjectId("5df8c466c17bff0219cf98f5"),273,M,18,4,55427,5
ObjectId("5df8c466c17bff0219cf98f6"),274,M,18,4,55455,5
ObjectId("5df8c466c17bff0219cf98f7"),275,M,25,0,48162,5
ObjectId("5df8c466c17bff0219cf98f8"),276,M,45,16,01982,5
ObjectId("5df8c466c17bff0219cf98f9"),277,F,35,1,98126,5
ObjectId("5df8c466c17bff0219cf98fa"),278,M,45,18,60482,5
ObjectId("5df8c466c17bff0219cf98fb"),279,M,25,14,91214,5
ObjectId("5df8c466c17bff0219cf98fc"),280,M,50,7,19118,5
ObjectId("5df8c466c17bff0219cf98fd"),281,F,35,0,94117,5
ObjectId("5df8c466c17bff0219cf98fe"),282,M,25,17,94401,5
ObjectId("5df8c466c17bff0219cf98ff"),283,M,25,0,10003,5
ObjectId("5df8c466c17bff0219cf9900"),284,M,25,12,91910,5
ObjectId("5df8c466c17bff0219cf9901"),285,F,35,0,94109,5
ObjectId("5df8c466c17bff0219cf9902"),286,M,25,1,54601,5
ObjectId("5df8c466c17bff0219cf9903"),287,M,50,13,94706,5
ObjectId("5df8c466c17bff0219cf9904"),288,F,25,12,97119,5
ObjectId("5df8c466c17bff0219cf9905"),289,F,25,0,11801,5
ObjectId("5df8c466c17bff0219cf9906"),290,F,25,20,94591,5
ObjectId("5df8c466c17bff0219cf9907"),291,M,35,12,55110,5
ObjectId("5df8c466c17bff0219cf9908"),292,M,35,7,19406,5
ObjectId("5df8c466c17bff0219cf990a"),294,F,45,9,43147,5
ObjectId("5df8c466c17bff0219cf990b"),295,M,18,0,80203,5
ObjectId("5df8c466c17bff0219cf990c"),296,M,50,5,89432,5
